cui1,rel,cui2_raw,cui2_resolved,rela,sab,cui2_name
C0001175,RO,A31677210,C0021741,contraindicated_with_disease,MED-RT,interferon gamma-1b
C0001175,RO,A31682113,C0043474,may_treat,MED-RT,zidovudine
C0001175,RO,A31762325,C0085297,may_treat,MED-RT,"immunoglobulins, intravenous"
C0001175,RO,A31693530,C0132326,may_treat,MED-RT,nevirapine
C0001175,RO,A10340605,C0164613,contraindicated_with_disease,MED-RT,interferon alfacon-1
C0001175,RO,A31764174,C0164662,may_treat,MED-RT,stavudine
C0001175,RO,A31642860,C0209738,may_treat,MED-RT,lamivudine
C0001175,RO,A31677855,C0244714,contraindicated_with_disease,MED-RT,recombinant interferon beta-1b
C0001175,RO,A17023021,C0286737,may_treat,MED-RT,saquinavir mesylate
C0001175,RO,A31696073,C0286738,may_treat,MED-RT,saquinavir
C0001175,RO,A31765780,C0288165,may_treat,MED-RT,delavirdine
C0001175,RO,A31661759,C0292818,may_treat,MED-RT,ritonavir
C0001175,RO,A31664822,C0376637,may_treat,MED-RT,indinavir
C0001175,RO,A31735843,C0384228,may_treat,MED-RT,tenofovir
C0001175,RO,A10480587,C0391001,contraindicated_with_disease,MED-RT,peginterferon alfa-2a
C0001175,RO,A31719766,C0525005,may_treat,MED-RT,nelfinavir
C0001175,RO,A10435977,C0537439,may_treat,MED-RT,enfuvirtide
C0001175,RO,A31702607,C0543492,may_treat,MED-RT,delavirdine mesylate
C0001175,RO,A10340609,C0663655,may_treat,MED-RT,abacavir
C0001175,RO,A10351699,C0663733,may_treat,MED-RT,tipranavir
C0001175,RO,A10340650,C0674428,may_treat,MED-RT,efavirenz
C0001175,RO,A10387208,C0674432,may_treat,MED-RT,lopinavir
C0001175,RO,A31635398,C0700483,may_treat,MED-RT,indinavir sulfate
C0001175,RO,A16790793,C0724515,may_treat,MED-RT,abacavir sulfate
C0001175,RO,A31636545,C0754188,may_treat,MED-RT,amprenavir
C0001175,RO,A10387235,C0796545,contraindicated_with_disease,MED-RT,peginterferon alfa-2b
C0001175,RO,A31759090,C0886530,may_treat,MED-RT,nelfinavir mesylate
C0001175,RO,A31655203,C0982233,contraindicated_with_disease,MED-RT,"interferon alfa-3n,human leukocyte derived"
C0001175,RO,A31759725,C1099776,may_treat,MED-RT,tenofovir disoproxil fumarate
C0001175,RO,A31655981,C1145759,may_treat,MED-RT,atazanavir
C0001175,RO,A10483527,C1176315,may_treat,MED-RT,fosamprenavir
C0001175,RO,A31638702,C1176383,may_treat,MED-RT,atazanavir sulfate
C0001175,RO,A31657663,C1321660,may_treat,MED-RT,fosamprenavir calcium
C0001175,RO,A11266083,C1435444,may_treat,MED-RT,darunavir
C0001175,RO,A16792375,C1725651,may_treat,MED-RT,darunavir ethanolate
