cui1,rel,cui2,rela,sab
C0001465,RO,A28935620,therapeutic_class_of,MED-RT
C0001465,RO,A0027665,has_contraindicated_drug,MED-RT
C0001465,RO,A0027669,has_contraindicated_drug,MED-RT
C0001465,RO,A0051521,has_contraindicated_drug,MED-RT
C0001465,RO,A0066389,has_contraindicated_drug,MED-RT
C0001465,RO,A0081249,has_contraindicated_drug,MED-RT
C0001465,RO,A0116372,has_contraindicated_drug,MED-RT
C0001465,RO,A0245083,has_contraindicated_drug,MED-RT
C0001465,RO,A28940496,has_contraindicated_physiologic_effect,MED-RT
C0001480,RO,A0027665,has_contraindicated_drug,MED-RT
C0001480,RO,A0027669,has_contraindicated_drug,MED-RT
C0001480,RO,A0051521,has_contraindicated_drug,MED-RT
C0001480,RO,A0081249,has_contraindicated_drug,MED-RT
C0001480,RO,A0116372,has_contraindicated_drug,MED-RT
C0001480,RO,A0245083,has_contraindicated_drug,MED-RT
C0001480,RO,A28940496,has_contraindicated_physiologic_effect,MED-RT
C0001486,RO,A31629839,may_prevent,MED-RT
C0001486,RO,A31629840,may_prevent,MED-RT
C0001486,RO,A31666984,may_prevent,MED-RT
C0001486,RO,A31634655,may_prevent,MED-RT
C0001487,RO,A31714783,may_treat,MED-RT
C0001511,RO,A31718695,contraindicated_with_disease,MED-RT
C0001511,RO,A16789376,contraindicated_with_disease,MED-RT
C0001511,RO,A10338551,contraindicated_with_disease,MED-RT
C0001511,RO,A10381456,contraindicated_with_disease,MED-RT
C0001511,RO,A31720855,contraindicated_with_disease,MED-RT
C0001511,RO,A31673270,contraindicated_with_disease,MED-RT
C0001576,RO,A31695124,contraindicated_with_disease,MED-RT
C0001614,RO,A31744212,contraindicated_with_disease,MED-RT
C0001614,RO,A31695124,contraindicated_with_disease,MED-RT
C0001614,RO,A23828460,contraindicated_with_disease,MED-RT
C0001617,RO,A31642451,contraindicated_class_of,MED-RT
C0001617,RO,A31729507,contraindicated_class_of,MED-RT
C0001617,RO,A31643437,contraindicated_class_of,MED-RT
C0001617,RO,A31747865,contraindicated_class_of,MED-RT
C0001617,RO,A31713333,contraindicated_class_of,MED-RT
C0001617,RO,A31748033,contraindicated_class_of,MED-RT
C0001617,RO,A31631956,contraindicated_class_of,MED-RT
C0001621,RO,A31669050,contraindicated_with_disease,MED-RT
C0001621,RO,A31672095,contraindicated_with_disease,MED-RT
C0001621,RO,A16495596,contraindicated_with_disease,MED-RT
C0001621,RO,A31645206,contraindicated_with_disease,MED-RT
C0001621,RO,A31737031,contraindicated_with_disease,MED-RT
C0001621,RO,A31720287,contraindicated_with_disease,MED-RT
C0001621,RO,A31636421,contraindicated_with_disease,MED-RT
C0001621,RO,A16788379,contraindicated_with_disease,MED-RT
C0001621,RO,A31657593,contraindicated_with_disease,MED-RT
C0001621,RO,A24171724,contraindicated_with_disease,MED-RT
C0001622,RO,A31710684,may_treat,MED-RT
C0001622,RO,A29793215,may_treat,MED-RT
C0001623,RO,A31759159,may_treat,MED-RT
C0001623,RO,A28618921,may_treat,MED-RT
C0001623,RO,A32689695,contraindicated_with_disease,MED-RT
C0001623,RO,A31728695,may_treat,MED-RT
C0001623,RO,A31764580,contraindicated_with_disease,MED-RT
C0001623,RO,A31660356,may_treat,MED-RT
C0001623,RO,A31660379,contraindicated_with_disease,MED-RT
C0001623,RO,A10338297,may_treat,MED-RT
C0001623,RO,A31696691,may_treat,MED-RT
C0001623,RO,A18542030,contraindicated_with_disease,MED-RT
C0001623,RO,A27391671,contraindicated_with_disease,MED-RT
C0001623,RO,A31733753,may_treat,MED-RT
C0001623,RO,A31751152,may_treat,MED-RT
