CUI1,CUI2,RELA,SAB
C0008163,C0836924,may_treat,MED-RT
C0008168,C0004623,may_prevent,MED-RT
C0008168,C0004623,may_treat,MED-RT
C0008168,C0025294,may_treat,MED-RT
C0008168,C0029878,may_treat,MED-RT
C0008168,C0035585,may_treat,MED-RT
C0008168,C0036117,may_treat,MED-RT
C0008174,C0003469,may_treat,MED-RT
C0008183,C0033774,may_treat,MED-RT
C0008183,C0042963,may_treat,MED-RT
C0008188,C0003469,may_treat,MED-RT
C0008196,C0006849,may_treat,MED-RT
C0008196,C0031090,may_treat,MED-RT
C0008197,C0006849,may_treat,MED-RT
C0008197,C0031090,may_treat,MED-RT
C0008199,C0006849,may_treat,MED-RT
C0008199,C0031090,may_treat,MED-RT
C0008221,C0917801,may_treat,MED-RT
C0008223,C0003469,may_treat,MED-RT
C0008241,C0024530,may_prevent,MED-RT
C0008241,C0024530,may_treat,MED-RT
C0008241,C0024535,may_prevent,MED-RT
C0008241,C0024535,may_treat,MED-RT
C0008269,C0002438,may_treat,MED-RT
C0008269,C0003873,may_treat,MED-RT
C0008269,C0024530,may_prevent,MED-RT
C0008269,C0024530,may_treat,MED-RT
C0008269,C0024535,may_treat,MED-RT
C0008269,C0030807,may_treat,MED-RT
C0008269,C0033860,contraindicated_with_disease,MED-RT
C0008269,C0035309,contraindicated_with_disease,MED-RT
C0008269,C0036421,may_treat,MED-RT
C0008273,C0018801,may_treat,MED-RT
C0008275,C0025322,may_treat,MED-RT
C0008280,C0027121,may_treat,MED-RT
C0008280,C0037763,may_treat,MED-RT
C0008281,C0030920,contraindicated_with_disease,MED-RT
C0008281,C0042109,may_treat,MED-RT
C0008286,C0003469,may_treat,MED-RT
C0008286,C0009421,contraindicated_with_disease,MED-RT
C0008286,C0019521,may_treat,MED-RT
C0008286,C0036341,may_treat,MED-RT
C0008286,C0042963,may_treat,MED-RT
C0008290,C0009421,contraindicated_with_disease,MED-RT
C0008290,C0036349,may_treat,MED-RT
C0008294,C0018801,may_treat,MED-RT
C0008296,C0023895,contraindicated_with_disease,MED-RT
C0008296,C0027121,may_treat,MED-RT
C0008296,C0037763,may_treat,MED-RT
C0008318,C0010346,may_treat,MED-RT
C0008318,C0020626,may_treat,MED-RT
C0008318,C0033860,may_treat,MED-RT
C0008402,C0011991,may_treat,MED-RT
C0008402,C0021843,contraindicated_with_disease,MED-RT
C0008402,C1956346,may_prevent,MED-RT
C0008402,C1956346,may_treat,MED-RT
C0008466,C0007302,may_treat,MED-RT
C0008466,C0029408,may_treat,MED-RT
C0008777,C0003869,may_treat,MED-RT
C0008777,C0042029,may_treat,MED-RT
C0008783,C0017168,may_treat,MED-RT
C0008783,C0018834,may_treat,MED-RT
C0008783,C0042109,may_treat,MED-RT
C0008806,C0014836,may_treat,MED-RT
C0008806,C0042029,may_treat,MED-RT
